Q. No.,KEY,Q.No.,KEY1,Q.No.,KEYS,Q.No.,KEY_RANGE,Q.No.,KEY_RANGE 
1,D,16,A,31,"A, C",41,1.9 – 2.1,56,2.9 – 3.1
2,A,17,A,32,"A, B, D",42,5.9 – 6.1,57,0.9 – 1.1
3,B,18,D,33,"A, D",43,-0.01 – +0.01,58,5.9 – 6.1
4,C,19,D,34,"A, B, D",44,9.9 – 10.1,59,0.9 – 1.1
5,B,20,C,35,"A, C",45,1259.9 – 1260.1,60,1.34 – 1.36
6,D,21,D,36,"A, C",46,1.9 – 2.1,,
7,B,22,B,37,"B, D",47,0.49 – 0.51,,
8,A,23,B,38,"B, C",48,2.9 – 3.1,,
9,A,24,D,39,"B, C, D",49,54.9 – 55.1,,
10,D,25,C,40,"C, D",50,7.9 – 8.1,,
11,B,26,A,,,51,2.9 – 3.1,,
12,A,27,C,,,52,2.0 – 2.2,,
13,C,28,C,,,53,0.9 – 1.1,,
14,D,29,C,,,54,29.9 – 30.1,,
15,C,30,B,,,55,0.9 – 1.1,,

