Q.No.,Key,Marks,Q.No.,Key,Marks,Q.No.,Range,,Marks,
1,C,1,1,A;C;D ,2,1,1,to,1,1
2,C,1,2,A;D ,2,2,6.28,to,6.29,1
3,B,1,3,C;D ,2,3,3,to,3,1
4,B,1,4,A;B ,2,4,-1,to,-1 ,1
5,A,1,5,A;C;D ,2,5,2.34,to,2.35,1
6,B,1,6,A;C ,2,6,1.64,to,1.65,1
7,A,1,7,A;D ,2,7,1,to,1,1
8,C,1,8,B;C ,2,8,-1,to,-1 ,1
9,B,1,9,B;C;D ,2,9,2,to,2,1
10,A,1,10,A;B;C ,2,10,3,to,3,1
11,B,2,,,,11,8,to,8,2
12,D,2,,,,12,84,to,84,2
13,D,2,,,,13,0.25,to,0.25,2
14,A,2,,,,14,2,to,2,2
15,A,2,,,,15,0.125,to,0.125,2
16,C,2,,,,16,1.41,to,1.42,2
17,D,2,,,,17,0.1,to,0.11,2
18,C,2,,,,18,5.09,to,5.1,2
19,D,2,,,,19,3,to,3,2
20,D,2,,,,20,2,to,2,2
21,B,2,,,,,,,,
22,B,2,,,,,,,,
23,A,2,,,,,,,,
24,B,2,,,,,,,,
25,A,2,,,,,,,,
26,C,2,,,,,,,,
27,D,2,,,,,,,,
28,A,2,,,,,,,,
29,D,2,,,,,,,,
30,D,2,,,,,,,,
